Date,S33,S33Nm,PER,PBR,PERCount,PBRCount
2021-12-10,5250,情報･通信業,18.799832144355854,1.8785475648243415,395,345
2021-12-17,5250,情報･通信業,18.290007421951866,1.8446365670844,396,348
2021-12-24,5250,情報･通信業,18.32520791511328,1.8614961408006836,397,349
2021-12-30,5250,情報･通信業,18.578178694158076,1.8897414842710307,397,349
2022-01-07,5250,情報･通信業,17.32851985559567,1.8160094743794035,399,350
2022-01-14,5250,情報･通信業,17.054616639186932,1.7793880225229923,398,354
2022-01-21,5250,情報･通信業,16.457577211257615,1.7480827818048115,396,351
2022-01-28,5250,情報･通信業,15.701154981170113,1.6629652918917956,396,350
2022-02-04,5250,情報･通信業,16.630416924294433,1.8058804952773588,400,358
2022-02-10,5250,情報･通信業,16.728489344679613,1.893292141128867,401,395
2022-02-18,5250,情報･通信業,16.058107577542206,1.8704156479217604,407,443
2022-02-25,5250,情報･通信業,16.75758236962688,1.8535055657085895,405,443
2022-03-04,5250,情報･通信業,16.808018504240557,1.9246135139829772,403,441
2022-03-11,5250,情報･通信業,16.39521413662866,1.8493077450597237,402,440
2022-03-18,5250,情報･通信業,17.484215638659542,1.983149465746441,407,452
2022-03-25,5250,情報･通信業,17.729458368727116,2.0248975732745036,408,453
2022-04-01,5250,情報･通信業,18.064692467318764,2.116181335876725,402,447
2022-04-08,5250,情報･通信業,17.82293924845063,2.1392259307708574,404,449
2022-04-15,5250,情報･通信業,17.360057560970986,2.1246273540318477,402,461
2022-04-22,5250,情報･通信業,16.535329171252403,2.014108437544171,408,468
2022-04-28,5250,情報･通信業,17.052202972255536,2.024302295220334,402,462
2022-05-06,5250,情報･通信業,16.536395913231065,1.9703323458745114,406,468
2022-05-13,5250,情報･通信業,16.44295302013423,1.969289061721009,409,479
2022-05-20,5250,情報･通信業,16.969240631491644,1.9846116267708844,406,477
2022-05-27,5250,情報･通信業,17.104925802946276,1.9773330118157706,404,475
2022-06-03,5250,情報･通信業,17.765876052027547,2.0716461813215674,405,477
2022-06-10,5250,情報･通信業,18.41760171465588,2.1435323202210426,406,477
2022-06-17,5250,情報･通信業,16.649388239022706,1.967154481237519,406,479
2022-06-24,5250,情報･通信業,17.440610159782864,2.0202558712957455,406,480
2022-07-01,5250,情報･通信業,16.904398035116657,1.974355544764645,406,480
2022-07-08,5250,情報･通信業,17.769148366363147,2.049057732575531,403,477
2022-07-15,5250,情報･通信業,18.437557604268463,2.0596223219818466,402,476
2022-07-22,5250,情報･通信業,18.84409907722195,2.097767513471901,407,481
2022-07-29,5250,情報･通信業,18.957869354811702,2.0895358177042347,404,480
2022-08-05,5250,情報･通信業,18.717627423214168,2.140732432827815,406,483
2022-08-12,5250,情報･通信業,18.802764994292772,2.094908562619911,406,487
2022-08-19,5250,情報･通信業,19.097449313276652,2.148606088883705,403,483
2022-08-26,5250,情報･通信業,19.218009478672986,2.138031418213776,407,487
2022-09-02,5250,情報･通信業,18.862145152651312,2.0868551442728065,406,487
2022-09-09,5250,情報･通信業,19.35103070915788,2.11643495531281,404,485
2022-09-16,5250,情報･通信業,18.966644865925442,2.0661403893110286,407,488
2022-09-22,5250,情報･通信業,18.635670731707318,2.0378020848941496,405,487
2022-09-30,5250,情報･通信業,18.51327903022032,1.9841047921272628,402,484
2022-10-07,5250,情報･通信業,18.566417372964267,2.0653438127797554,402,485
2022-10-14,5250,情報･通信業,18.560470470306022,2.048081143024333,402,487
2022-10-21,5250,情報･通信業,18.611805422034227,2.050460144070541,401,486
2022-10-28,5250,情報･通信業,18.081564710778192,2.0837235437347816,401,487
2022-11-04,5250,情報･通信業,18.783701402135648,2.048085485307213,408,489
2022-11-11,5250,情報･通信業,18.250728862973762,2.115465166075883,409,492
2022-11-18,5250,情報･通信業,18.508829300196208,2.0957337291620632,411,494
2022-11-25,5250,情報･通信業,18.89027418319802,2.060633112085048,412,494
2022-12-02,5250,情報･通信業,18.279106234882025,2.131603336422614,410,493
2022-12-09,5250,情報･通信業,18.23636837985912,2.1039515682588057,411,494
2022-12-16,5250,情報･通信業,18.15165876777251,2.0543713314797656,415,497
2022-12-23,5250,情報･通信業,17.113015532940544,1.9430788838818336,417,499
2022-12-30,5250,情報･通信業,17.668097281831187,1.9669850104357725,415,497
2023-01-06,5250,情報･通信業,17.4444496444725,1.938767840201709,414,496
