Date,エネルギー資源,不動産,医薬品,商社・卸売,小売,建設・資材,情報通信・サービスその他,機械,素材・化学,自動車・輸送機,運輸・物流,金融（除く銀行）,鉄鋼・非鉄,銀行,電機・精密,電気・ガス,食品,TOPIX
2024-08-02,153.9150605609356,115.9304347826087,72.51907267693738,126.64378787424002,108.92988977851721,117.82074969638252,82.04472843450479,112.56038647342994,103.04332259219477,122.75070116333544,109.29160088326091,118.58407079646018,121.0908639726574,165.2941176470588,101.11223458038423,116.78321678321679,108.18403389594732,133.6817262306136
2024-08-09,154.76634661205122,116.54411764705883,70.59228324534448,123.24578313253012,105.46875,116.78165458494345,78.6280914605693,106.62721893491126,102.00326600473308,117.37780797607836,104.94611517608648,114.6788990825688,114.13334713738482,155.00632721887,96.64948453608247,119.04761904761905,105.64102564102565,130.82118172623063
2024-08-16,171.5106820553748,122.0730449316428,75.29025824150403,127.42653606411398,108.56481481481481,120.89356110381078,82.94907764768962,115.74633886636133,106.8122270742358,121.52046783625732,108.12979293685525,122.70642201834863,122.39650237194351,170.20711630377056,101.82599355531687,127.45098039215685,108.40281277296245,141.10965947403912
2024-08-23,166.44179605618842,122.85714285714286,78.98185954431699,127.22371967654986,110.91658084449021,120.53361131224356,84.04798413104061,115.2167089713147,107.6737160120846,123.29130416940251,111.95745857918902,125.48476454293629,122.70537171656841,161.94895591647332,104.5681921987759,133.0532212885154,108.714115937647,141.43206338503035
2024-08-30,171.83412611091615,125.97100765465767,76.82919195991346,130.96543837357052,110.75981642019377,123.00877192982456,85.95719180972637,115.24822695035462,110.17191977077363,125.33783783783782,112.6815166944742,126.82926829268293,123.96694214876034,166.60549991079847,107.3345974383284,137.53894080996884,110.79889807162535,142.90237272420768
2024-09-06,165.77874391782302,123.40033622959679,73.29520849037726,129.064039408867,107.46008351756325,120.3308567685947,84.12795946774926,110.41203025053304,106.0513737439283,120.76474201474201,113.25501248347277,124.05627657194003,120.38650505017448,156.6901139230828,103.91304347826087,126.05042016806722,110.74380165289257,136.8330664194201
2024-09-13,166.84039798541227,121.26164874551971,71.01507003794173,127.73109243697478,106.2879448049376,118.27794561933536,84.65855940130963,110.30869052300434,106.29629629629629,118.39704069050553,112.70405322536365,119.26829268292683,117.93184488836663,150.16676869995868,102.21177605014162,127.45098039215685,108.25035561877667,135.44862609575185
2024-09-20,171.80537507943583,124.13926708663551,73.71276806461864,129.38557435440782,108.73774053990563,120.70098576122672,84.765625,113.18717259347541,108.50143432871087,120.09859474161377,114.77897289970753,122.4390243902439,121.56089005809494,157.1584218976986,103.45280478342234,129.4956074061582,110.56691091399924,139.1999957855698
2024-09-27,171.84201041439425,126.0,74.62302092086672,129.30839248693525,109.74173066197605,123.65308804204993,86.11111111111111,116.26017533282705,110.31495780050578,126.87568067648549,111.99118301988324,121.70731707317073,124.67852021146516,151.83748033175988,106.33484162895928,133.01657656625696,112.36306061308197,144.3937542144302
2024-10-04,177.73952869649344,126.66325922139873,73.8595047546281,130.54726368159203,107.68431983385254,122.73324572930355,85.62417871222077,114.6200638298132,108.45109943704338,121.36363636363636,113.72920336660795,120.18719463139924,122.9668811242459,156.17147080561716,104.08357596733137,128.8515406162465,111.08501643964301,141.9246249157114
