Date,Mkt,MktNm,Index,Constituents
2022-10-14,0112,スタンダード,88.86593204775022,1468
2022-10-14,0113,グロース,64.63414634146342,395
2022-10-21,0111,プライム,97.51243781094527,1539
2022-10-21,0112,スタンダード,89.4282786660871,1442
2022-10-21,0113,グロース,67.41793238608525,393
2022-10-28,0111,プライム,97.26507713884993,1539
2022-10-28,0112,スタンダード,89.11174785100286,1447
2022-10-28,0113,グロース,66.75858176476987,402
2022-11-04,0111,プライム,97.22564734895191,1539
2022-11-04,0112,スタンダード,89.17363803305449,1462
2022-11-04,0113,グロース,65.07042253521126,401
2022-11-11,0111,プライム,99.50535861500413,1539
2022-11-11,0112,スタンダード,89.76076555023923,1481
2022-11-11,0113,グロース,66.7939424436949,402
2022-11-18,0111,プライム,99.61873638344227,1539
2022-11-18,0112,スタンダード,90.26657931868576,1470
2022-11-18,0113,グロース,68.11526761402314,402
2022-11-25,0111,プライム,102.69662921348315,1539
2022-11-25,0112,スタンダード,91.84100418410041,1497
2022-11-25,0113,グロース,69.76718414240355,406
2022-12-02,0111,プライム,98.82978723404256,1539
2022-12-02,0112,スタンダード,91.20171673819742,1483
2022-12-02,0113,グロース,69.41465230178869,408
2022-12-09,0111,プライム,99.22153356070706,1538
2022-12-09,0112,スタンダード,91.22241944906304,1480
2022-12-09,0113,グロース,67.91907514450867,409
2022-12-16,0111,プライム,99.18046664567811,1540
2022-12-16,0112,スタンダード,91.22597424255592,1472
2022-12-16,0113,グロース,67.82334384858044,415
2022-12-23,0111,プライム,97.5905973192166,1540
2022-12-23,0112,スタンダード,89.47799461147102,1500
2022-12-23,0113,グロース,63.43940419769803,419
2022-12-30,0111,プライム,98.0736405754694,1541
2022-12-30,0112,スタンダード,89.79591836734694,1475
2022-12-30,0113,グロース,64.42577030812325,425
2023-01-06,0111,プライム,96.22317318290865,1542
2023-01-06,0112,スタンダード,89.71774193548387,1475
2023-01-06,0113,グロース,64.56043956043956,425
2023-01-13,0111,プライム,97.0109663583123,1542
2023-01-13,0112,スタンダード,89.91417857784393,1470
2023-01-13,0113,グロース,65.71448791718996,420
2023-01-20,0111,プライム,98.3549192526721,1542
2023-01-20,0112,スタンダード,90.35292595530206,1480
2023-01-20,0113,グロース,66.80781758957654,423
2023-01-27,0111,プライム,100.87444431706727,1542
2023-01-27,0112,スタンダード,91.75675675675676,1469
2023-01-27,0113,グロース,69.27667493796525,422
2023-02-03,0111,プライム,99.85287159644041,1542
2023-02-03,0112,スタンダード,91.55555555555556,1481
2023-02-03,0113,グロース,69.41935483870968,421
2023-02-10,0111,プライム,101.01636749638661,1542
2023-02-10,0112,スタンダード,92.01127819548873,1487
2023-02-10,0113,グロース,69.19685207054769,426
2023-02-17,0111,プライム,101.66326471651203,1542
2023-02-17,0112,スタンダード,92.33333333333333,1479
2023-02-17,0113,グロース,69.39585929008828,424
2023-02-24,0111,プライム,102.62345679012346,1541
2023-02-24,0112,スタンダード,93.17269076305222,1509
2023-02-24,0113,グロース,70.81462243652092,424
2023-03-03,0111,プライム,104.49611310267048,1542
2023-03-03,0112,スタンダード,94.21052631578948,1501
2023-03-03,0113,グロース,73.48370927318297,425
2023-03-10,0111,プライム,105.81044719054111,1542
2023-03-10,0112,スタンダード,95.06781001033875,1500
2023-03-10,0113,グロース,71.5885916765959,426
2023-03-17,0111,プライム,101.83236998164284,1542
2023-03-17,0112,スタンダード,93.22448979591836,1495
2023-03-17,0113,グロース,69.51140065146579,425
2023-03-24,0111,プライム,101.67689161554192,1542
2023-03-24,0112,スタンダード,93.80281690140845,1493
2023-03-24,0113,グロース,70.14218009478674,427
2023-03-31,0111,プライム,103.33294686134882,1542
2023-03-31,0112,スタンダード,93.69863013698631,1495
2023-03-31,0113,グロース,70.65243997708453,436
2023-04-07,0111,プライム,101.50501672240804,1543
2023-04-07,0112,スタンダード,93.04347826086956,1471
2023-04-07,0113,グロース,69.91426344505066,439
2023-04-14,0111,プライム,103.96213955535988,1543
2023-04-14,0112,スタンダード,94.11764705882352,1491
2023-04-14,0113,グロース,72.56532066508314,439
2023-04-21,0111,プライム,104.69534091520758,1544
2023-04-21,0112,スタンダード,94.3327239488117,1493
2023-04-21,0113,グロース,70.98039215686275,439
2023-04-28,0111,プライム,106.13425952482018,1544
2023-04-28,0112,スタンダード,94.84504776993614,1498
2023-04-28,0113,グロース,71.37767220902613,441
2023-05-02,0111,プライム,106.8017189812575,1544
