Date,その他製品,その他金融業,ガラス･土石製品,ゴム製品,サービス業,パルプ・紙,不動産業,保険業,倉庫･運輸関連業,化学,医薬品,卸売業,小売業,建設業,情報･通信業,機械,水産・農林業,海運業,石油･石炭製品,空運業,精密機器,繊維製品,証券･商品先物取引業,輸送用機器,金属製品,鉄鋼,鉱業,銀行業,陸運業,電気機器,電気･ガス業,非鉄金属,食料品,TOPIX
2023-04-14,104.34029058190131,109.78613151137114,93.26011309264898,113.49809885931559,95.53333333333333,89.54650570913273,105.7114717255511,106.4638783269962,113.47548361339963,94.90010515247108,77.29068511974873,106.30450783543448,98.82650259760374,101.45560407569141,81.11888111888112,96.44194756554307,102.37075032962059,187.72151898734177,101.50679117147709,106.73194614443085,93.17521781219749,100.0,90.45450664541652,99.61609424599764,95.41222315682583,114.10584421425555,202.94906166219837,119.48529411764706,100.18852787805857,95.70551385448292,96.59888002142162,105.46491367020434,98.87271019257867,106.34693189480782
2023-04-21,102.20421702145369,111.2399505256648,95.64736443710433,113.68821292775667,95.41484716157204,91.32882220260862,106.0199508713415,107.18283582089552,113.3419689119171,96.08377014172005,75.47488226059654,107.46712705694637,99.39524838012959,101.93686306245657,80.21390374331551,97.78368794326241,102.31667356042273,192.67399267399267,100.23344651952462,106.2423500611995,93.06784660766961,101.16383169203222,90.22842639593908,100.81135902636917,95.23436132600554,113.7353141116644,194.10187667560322,121.95288579310635,101.71673819742489,94.76861167002012,96.37462235649546,104.76402675649032,98.12623274161736,107.20772926500337
2023-04-28,104.85925925925925,111.84227684684099,94.75146538756547,99.75308641975309,95.22875816993464,92.02020202020202,107.89149198520344,106.4638783269962,114.53271876020759,95.56080103555928,73.719966105415,108.51528024764538,99.8488120950324,104.9076907640596,80.33373063170441,98.70892018779342,102.31906779905897,182.65822784810126,102.29202037351443,106.11995104039167,93.46557759626604,100.59093727916468,89.25371436755705,104.50204638472033,95.33632286995515,116.25623020452255,197.4530831099196,122.11134453781511,103.45963547719022,95.8021712907117,96.49405840886203,106.3468634686347,99.79939819458376,108.38882333108563
2023-05-02,103.2171581769437,110.74199647910284,96.10649268652006,100.98765432098766,95.93433230498016,92.22222222222223,106.12903225806451,106.4638783269962,114.77516059957173,97.0664205240407,73.76434574150198,109.34356889479292,100.10405827263267,105.97840755735493,80.59409389554486,99.59555738550782,103.64360961022984,180.25316455696202,102.73769100169781,107.58873929008568,93.81563593932322,102.44088482074751,88.90913226813373,103.39750849377123,97.68518518518519,115.892740353172,198.92761394101876,121.72949002217295,103.84232523650093,97.75873192307061,97.88519637462235,106.66666666666667,99.62423673085956,109.33970414699934
2023-05-12,102.94117647058823,113.04885590599876,96.16880441015527,102.22222222222221,96.61016949152543,94.55934207813908,107.4553766944038,106.99626865671641,115.45718451404619,97.93669330055317,72.72662495362874,107.92520035618878,101.55385292637934,106.8067958107884,81.98198198198197,99.44819129368486,103.78772692148756,156.67396061269147,104.03225806451613,109.66952264381884,94.1656942823804,103.24675324675326,89.29370667539982,104.06163630914722,97.20129171151775,117.37854471667421,195.71045576407505,120.58823529411764,107.59162303664922,97.71754636233952,99.73333333333333,99.14806110458285,99.78625750669731,110.4386168240054
2023-05-19,101.92592592592592,111.64672765657988,98.55699855699855,100.37037037037038,96.86369119420989,94.41460794844254,108.00068871470413,107.31939163498099,116.30796167564893,96.68316831683168,72.36293384616468,108.93002288305826,100.62749184487132,106.74556162034786,82.28782287822878,101.53953813855843,103.78053079094978,149.26739926739927,99.78777589134125,111.38310893512853,98.9802855200544,102.77529095792302,87.37163085766359,100.4833836858006,96.82026546390698,116.59223377540924,201.07238605898124,121.00061766522545,106.92410119840213,99.3286108737098,99.73333333333333,100.0,99.70944309927361,113.87864548213082
2023-05-26,102.26666666666667,105.410876104619,98.30373902445534,100.0,96.0,93.97178009959964,107.12035286704473,107.4144486692015,112.57680491551459,96.12732095490716,70.53233136277399,107.58620689655172,100.63348416289593,103.17725752508362,82.34978330118436,101.66896148871365,102.15328630303779,146.33699633699632,100.23344651952462,111.13831089351285,91.30688448074679,100.04329004329004,86.42131979695431,99.71428571428571,97.59326113116727,115.99864710784435,202.5469168900804,118.27295328611794,104.98568294820703,99.29328621908127,97.86666666666667,100.0,98.7409200968523,113.04366149696561
2023-06-02,101.40754958413308,103.4164430298113,98.20936639118457,96.54320987654322,95.96806966618287,92.0515574650913,110.00000000000001,107.22433460076046,112.51059549676464,95.74257425742574,71.665469348659,108.19672131147541,100.63462217761739,102.136619323111,83.18042813455658,100.9256905609219,100.44196235053036,146.8864468864469,99.44821731748728,112.11750305997552,95.581237253569,97.72727272727273,87.53228120516499,100.44285714285715,96.64359861591696,115.6172674954452,203.08310991957103,120.54508298569976,102.9532132029769,99.14634146341463,97.10144927536231,100.0,99.28400954653938,114.98546021577883
2023-06-09,102.43122200895714,105.64743138634765,98.17002112425567,96.30177514792899,97.18090178654691,91.28166915052161,110.15549480817803,109.31558935361217,116.41705069124424,97.5,73.61111111111111,110.13166533057677,100.88047545674664,104.18021365536461,84.24543946932008,102.78518648695041,101.56003387477209,152.07877461706784,103.0,112.36230110159117,91.77430319510536,100.20617827147235,89.26829268292683,101.42630744849446,97.8660019969707,118.37554857399346,212.6675603217158,119.88950276243094,107.32984293193716,99.7560975609756,98.93333333333332,101.90098451127191,100.20671834625323,117.17801753202967
2023-06-16,103.98148148148148,108.43589423536999,104.04761904761905,98.48372781065089,97.64703463508624,93.21907600596126,112.51604154857264,113.30798479087451,112.69430051813471,98.87107145727836,72.72089243498817,111.8279569892473,101.69491525423729,105.49235006119953,86.82863176348712,103.22653715531223,102.10525758331195,149.23413566739606,107.45856353591161,111.75030599755202,97.67165193745751,101.19129591833295,93.33676168086981,104.40768685078604,99.59919839679358,119.65126509432311,213.30049261083747,120.48440865249555,104.50461291616526,102.91041471293111,99.8389694041868,107.19982754904073,100.30090270812437,121.18383344571815
